t ,hm, hest, vest, Nest, dest, actualwished
0.048634, 0.003, 1, 0, 0.0696148, 0, 0, 0
0.072667, 0.016, -0.686336, -11.4208, 1.25497, 0.894608, 0, -8.34782
0.12055, 0.044, -0.631413, -9.92777, 1.0009, 0.68246, 0, -6.81685
0.138153, 0.024, -0.548469, -8.314, 0.756342, 0.482653, -0.0100476, -5.30201
0.16091, 0.012, -0.473004, -6.80121, 0.539649, 0.308244, -0.0100476, -3.94371
0.172052, 0.019, -0.449553, -6.34247, 0.478264, 0.259662, -0.0100476, -3.55265
0.191983, 0.024, -0.397253, -5.38111, 0.353095, 0.161237, -0.0100476, -2.74916
0.211797, 0.035, -0.346383, -4.50759, 0.245165, 0.0775133, -0.0100476, -2.04638
0.231837, 0.041, -0.29278, -3.65796, 0.145498, 0.0012749, -0.0105254, -1.38753
0.260413, 0.021, -0.244547, -2.92928, 0.064338, -0.0598503, -0.0105254, -0.842854
0.278146, 0.036, -0.202476, -2.24397, -0.00838349, -0.113658, -0.0105254, -0.348898
0.304609, 0.019, -0.127996, -1.15818, -0.117028, -0.192553, -0.0105254, 0.403805
0.330978, 0.006, -0.104126, -0.790918, -0.148861, -0.21431, -0.0105254, 0.634261
0.362582, 0.033, -0.0493831, 0.111511, -0.220605, -0.261227, 0.026, 1.16819
0.381561, -0.002, -0.0129054, 0.551276, -0.249683, -0.279282, 0.026, 1.40311
0.407883, 0.066, 0.00700109, 0.864978, -0.260146, -0.28215, 0.026, 1.51975
0.435288, 0.022, 0.0608812, 1.36704, -0.28843, -0.298229, 0.026, 1.76724
0.454195, 0.026, 0.0729785, 1.49848, -0.283795, -0.290811, 0.026, 1.77362
0.464196, 0.034, 0.0784612, 1.54949, -0.280596, -0.286609, 0.026, 1.76956
0.516924, 0.021, 0.116718, 1.86773, -0.26293, -0.262699, 0.026, 1.75625
0.543731, 0, 0.118416, 1.8353, -0.235332, -0.237091, 0.026, 1.61766
0.569627, 0.005, 0.108194, 1.70553, -0.200355, -0.206589, 0.026, 1.42168
0.579628, 0.012, 0.106022, 1.6668, -0.189603, -0.19724, 0.026, 1.36194
0.631699, 0.025, 0.100527, 1.48631, -0.133637, -0.14827, 0.026, 1.0566
0.687077, 0.018, 0.101434, 1.44302, -0.120913, -0.137331, 0.026, 0.987364
0.697078, 0.003, 0.0948056, 1.21684, -0.0701084, -0.094694, 0.026, 0.697914
0.729484, 0.019, 0.0777392, 0.977451, -0.0319773, -0.0641934, 0.026, 0.464141
0.753969, 0.005, 0.0745703, 0.873167, -0.0139063, -0.049851, 0.026, 0.356582
0.788627, -0.002, 0.0593698, 0.655951, 0.0172402, -0.0257199, 0.026, 0.16136
0.809757, -0.004, 0.0487944, 0.523636, 0.034415, -0.0127623, 0.026, 0.0508094
0.839803, -0.003, 0.0345959, 0.350437, 0.055877, 0.00313466, 0.026, -0.0889908
0.860576, -0.008, 0.0271172, 0.255726, 0.0668845, 0.0109832, 0.026, -0.161725
0.888701, -0.03, 0.0174903, 0.146896, 0.0787877, 0.0193052, -0.0129849, -0.241969
0.910623, -0.006, -0.00218093, -0.0259332, 0.0954954, 0.0317895, -0.0129849, -0.361199
0.934321, -0.003, -0.00404851, -0.0557916, 0.0968192, 0.0325179, -0.0129849, -0.374012
0.964183, -0.023, -0.00529314, -0.0899614, 0.097014, 0.0321556, -0.0129849, -0.382199
0.980617, -0.02, -0.0122534, -0.14565, 0.101183, 0.0350642, -0.0139115, -0.414966
1.01062, -0.024, -0.0209928, -0.213378, 0.104892, 0.0373853, -0.0139115, -0.448426
1.02964, -0.008, -0.0261173, -0.247192, 0.106093, 0.0379559, -0.0139115, -0.462209
1.05976, -0.002, -0.0232804, -0.220925, 0.0995966, 0.0325068, -0.0139115, -0.425337
1.0932, -0.047, -0.0213848, -0.205185, 0.0968262, 0.0302683, -0.0139115, -0.408547
1.11991, -0.044, -0.0556185, -0.423954, 0.114527, 0.0430134, -0.0126242, -0.54523
1.14842, -0.026, -0.0614322, -0.430939, 0.111022, 0.0397176, -0.0126242, -0.531281
1.16146, -0.012, -0.0583273, -0.392801, 0.105226, 0.0350749, -0.0126242, -0.495239
1.19081, -0.022, -0.0442198, -0.260754, 0.0878615, 0.0214722, -0.0132285, -0.382583
1.21909, -0.013, -0.0412409, -0.222939, 0.0824693, 0.0172854, -0.0132285, -0.348652
1.24716, -0.032, -0.0296653, -0.112289, 0.0686214, 0.0067196, -0.0132285, -0.257844
1.26401, -0.034, -0.0321535, -0.11989, 0.0690103, 0.00709129, -0.0132285, -0.261942
1.29636, -0.013, -0.0373274, -0.134229, 0.0696232, 0.00770883, -0.0132285, -0.269231
1.31069, -0.044, -0.0327074, -0.0930499, 0.0649532, 0.00424364, -0.0146137, -0.237695
1.34918, -0.03, -0.0415921, -0.136563, 0.0689977, 0.00752334, -0.0146137, -0.268105
1.37907, -0.014, -0.0400913, -0.113023, 0.0660549, 0.00540036, -0.0146137, -0.249139
1.40118, -0.024, -0.024286, 0.0219853, 0.0512457, -0.00548624, -0.0133513, -0.148002
1.42052, -0.009, -0.0238728, 0.028669, 0.0509042, -0.0055294, -0.0133513, -0.145081
1.44106, -0.002, -0.0161677, 0.0864326, 0.0455198, -0.00923779, -0.0133513, -0.106212
1.46225, -0.016, -0.00877402, 0.136828, 0.041121, -0.0122011, -0.0133513, -0.073572
1.48097, 0.003, -0.00876227, 0.133554, 0.0424554, -0.0108274, -0.0133513, -0.0807999
1.50082, 0.01, -0.00173071, 0.177235, 0.0388923, -0.0131554, -0.0123279, -0.0535711
1.52117, 0.01, 0.00632091, 0.224213, 0.0352356, -0.0155264, -0.0123279, -0.0249853
1.54996, 0.001, 0.00936693, 0.238959, 0.0344408, -0.0159081, -0.0123279, -0.0176177
1.57096, 0.001, 0.01257, 0.235437, 0.0376984, -0.0126094, -0.0123279, -0.0335139
1.59978, 0.017, 0.0130939, 0.217092, 0.0415766, -0.00911384, -0.012446, -0.0558569
1.61415, -0.008, 0.0173045, 0.235024, 0.0405147, -0.00967956, -0.012446, -0.046316
1.64891, -0.004, 0.00892159, 0.149993, 0.0513641, -0.000912826, -0.012446, -0.117432
1.68756, -0.004, 0.00697496, 0.124192, 0.0546478, 0.00177512, -0.012446, -0.138873
1.71185, -0.016, 0.00358929, 0.0790398, 0.0601651, 0.00626893, -0.0127438, -0.175298
1.72591, -0.002, -0.000504532, 0.0453435, 0.0637351, 0.00903219, -0.0127438, -0.200134
